timestamp,node_id,region,download_utilization_pct,upload_utilization_pct,capacity_mbps,status
2026-06-01 00:00:00,PHL-001,Philadelphia,49.12,17.56,1000,normal
2026-06-01 00:00:00,PHL-002,Philadelphia,50.2,20.93,1000,normal
2026-06-01 00:00:00,PHL-003,Philadelphia,58.42,32.31,1000,normal
2026-06-01 00:00:00,PHL-004,Philadelphia,63.14,23.75,1000,normal
2026-06-01 00:00:00,NYC-001,New York,61.53,22.09,1000,normal
2026-06-01 00:00:00,NYC-002,New York,47.75,23.95,1000,normal
2026-06-01 00:00:00,NYC-003,New York,64.27,26.33,1000,normal
2026-06-01 00:00:00,CHI-001,Chicago,46.2,23.72,1000,normal
2026-06-01 00:00:00,CHI-002,Chicago,53.32,28.09,1000,normal
2026-06-01 00:00:00,CHI-003,Chicago,67.86,23.88,1000,normal
2026-06-01 01:00:00,PHL-001,Philadelphia,50.45,28.22,1000,normal
2026-06-01 01:00:00,PHL-002,Philadelphia,50.72,20.12,1000,normal
2026-06-01 01:00:00,PHL-003,Philadelphia,59.74,26.94,1000,normal
2026-06-01 01:00:00,PHL-004,Philadelphia,56.74,21.51,1000,normal
2026-06-01 01:00:00,NYC-001,New York,64.08,34.03,1000,normal
2026-06-01 01:00:00,NYC-002,New York,52.46,29.85,1000,normal
2026-06-01 01:00:00,NYC-003,New York,69.36,44.52,1000,normal
2026-06-01 01:00:00,CHI-001,Chicago,44.03,22.7,1000,normal
2026-06-01 01:00:00,CHI-002,Chicago,56.98,30.52,1000,normal
2026-06-01 01:00:00,CHI-003,Chicago,68.17,35.67,1000,normal
2026-06-01 02:00:00,PHL-001,Philadelphia,49.64,18.06,1000,normal
2026-06-01 02:00:00,PHL-002,Philadelphia,49.82,21.76,1000,normal
2026-06-01 02:00:00,PHL-003,Philadelphia,54.48,22.87,1000,normal
2026-06-01 02:00:00,PHL-004,Philadelphia,56.81,24.62,1000,normal
2026-06-01 02:00:00,NYC-001,New York,62.81,28.86,1000,normal
2026-06-01 02:00:00,NYC-002,New York,48.96,20.21,1000,normal
2026-06-01 02:00:00,NYC-003,New York,66.67,42.07,1000,normal
2026-06-01 02:00:00,CHI-001,Chicago,46.18,24.6,1000,normal
2026-06-01 02:00:00,CHI-002,Chicago,53.03,30.16,1000,normal
2026-06-01 02:00:00,CHI-003,Chicago,63.98,29.68,1000,normal
2026-06-01 03:00:00,PHL-001,Philadelphia,51.92,28.14,1000,normal
2026-06-01 03:00:00,PHL-002,Philadelphia,52.46,29.14,1000,normal
2026-06-01 03:00:00,PHL-003,Philadelphia,59.06,34.42,1000,normal
2026-06-01 03:00:00,PHL-004,Philadelphia,57.83,20.8,1000,normal
2026-06-01 03:00:00,NYC-001,New York,60.89,26.2,1000,normal
2026-06-01 03:00:00,NYC-002,New York,47.69,30.18,1000,normal
2026-06-01 03:00:00,NYC-003,New York,72.76,32.33,1000,warning
2026-06-01 03:00:00,CHI-001,Chicago,46.24,21.67,1000,normal
2026-06-01 03:00:00,CHI-002,Chicago,57.49,28.04,1000,normal
2026-06-01 03:00:00,CHI-003,Chicago,64.59,27.39,1000,normal
2026-06-01 04:00:00,PHL-001,Philadelphia,48.49,20.79,1000,normal
2026-06-01 04:00:00,PHL-002,Philadelphia,52.68,32.63,1000,normal
2026-06-01 04:00:00,PHL-003,Philadelphia,56.4,23.45,1000,normal
2026-06-01 04:00:00,PHL-004,Philadelphia,63.98,32.17,1000,normal
2026-06-01 04:00:00,NYC-001,New York,59.55,21.68,1000,normal
2026-06-01 04:00:00,NYC-002,New York,46.88,25.23,1000,normal
2026-06-01 04:00:00,NYC-003,New York,71.92,34.28,1000,warning
2026-06-01 04:00:00,CHI-001,Chicago,41.51,19.28,1000,normal
2026-06-01 04:00:00,CHI-002,Chicago,57.98,29.5,1000,normal
2026-06-01 04:00:00,CHI-003,Chicago,68.83,41.86,1000,normal
2026-06-01 05:00:00,PHL-001,Philadelphia,44.09,24.96,1000,normal
2026-06-01 05:00:00,PHL-002,Philadelphia,53.45,27.32,1000,normal
2026-06-01 05:00:00,PHL-003,Philadelphia,55.6,30.15,1000,normal
2026-06-01 05:00:00,PHL-004,Philadelphia,56.89,27.33,1000,normal
2026-06-01 05:00:00,NYC-001,New York,61.72,39.26,1000,normal
2026-06-01 05:00:00,NYC-002,New York,53.01,22.74,1000,normal
2026-06-01 05:00:00,NYC-003,New York,69.01,27.85,1000,normal
2026-06-01 05:00:00,CHI-001,Chicago,48.3,29.52,1000,normal
2026-06-01 05:00:00,CHI-002,Chicago,53.79,29.14,1000,normal
2026-06-01 05:00:00,CHI-003,Chicago,66.65,26.38,1000,normal
2026-06-01 06:00:00,PHL-001,Philadelphia,55.1,28.2,1000,normal
2026-06-01 06:00:00,PHL-002,Philadelphia,59.23,30.15,1000,normal
2026-06-01 06:00:00,PHL-003,Philadelphia,59.0,26.39,1000,normal
2026-06-01 06:00:00,PHL-004,Philadelphia,61.16,38.45,1000,normal
2026-06-01 06:00:00,NYC-001,New York,69.27,41.53,1000,normal
2026-06-01 06:00:00,NYC-002,New York,53.46,19.64,1000,normal
2026-06-01 06:00:00,NYC-003,New York,77.78,49.32,1000,warning
2026-06-01 06:00:00,CHI-001,Chicago,46.69,23.15,1000,normal
2026-06-01 06:00:00,CHI-002,Chicago,57.42,33.2,1000,normal
2026-06-01 06:00:00,CHI-003,Chicago,72.6,28.21,1000,warning
2026-06-01 07:00:00,PHL-001,Philadelphia,52.8,27.19,1000,normal
2026-06-01 07:00:00,PHL-002,Philadelphia,55.12,33.72,1000,normal
2026-06-01 07:00:00,PHL-003,Philadelphia,61.54,25.45,1000,normal
2026-06-01 07:00:00,PHL-004,Philadelphia,65.31,37.16,1000,normal
2026-06-01 07:00:00,NYC-001,New York,65.21,28.92,1000,normal
2026-06-01 07:00:00,NYC-002,New York,58.96,32.13,1000,normal
2026-06-01 07:00:00,NYC-003,New York,73.38,37.08,1000,warning
2026-06-01 07:00:00,CHI-001,Chicago,46.97,19.61,1000,normal
2026-06-01 07:00:00,CHI-002,Chicago,59.03,31.08,1000,normal
2026-06-01 07:00:00,CHI-003,Chicago,69.38,28.87,1000,normal
2026-06-01 08:00:00,PHL-001,Philadelphia,49.57,26.73,1000,normal
2026-06-01 08:00:00,PHL-002,Philadelphia,54.83,34.08,1000,normal
2026-06-01 08:00:00,PHL-003,Philadelphia,64.16,23.82,1000,normal
2026-06-01 08:00:00,PHL-004,Philadelphia,62.9,34.64,1000,normal
2026-06-01 08:00:00,NYC-001,New York,65.29,25.44,1000,normal
2026-06-01 08:00:00,NYC-002,New York,58.48,30.49,1000,normal
2026-06-01 08:00:00,NYC-003,New York,73.73,43.16,1000,warning
2026-06-01 08:00:00,CHI-001,Chicago,52.46,21.36,1000,normal
2026-06-01 08:00:00,CHI-002,Chicago,57.58,27.6,1000,normal
2026-06-01 08:00:00,CHI-003,Chicago,70.54,34.57,1000,warning
2026-06-01 09:00:00,PHL-001,Philadelphia,54.83,30.27,1000,normal
2026-06-01 09:00:00,PHL-002,Philadelphia,60.87,23.1,1000,normal
2026-06-01 09:00:00,PHL-003,Philadelphia,61.42,27.75,1000,normal
2026-06-01 09:00:00,PHL-004,Philadelphia,67.89,28.83,1000,normal
